domaine,subDomine,label,altLabels
Science,Earth sciences,Seismic areas,
Social and human sciences,Population,Preschool children,Preschoolers
Science,Science and research management,Technology transfer services,
"Politics, law and economics",Legal systems,Territorial waters,
Education,Educational systems and levels,Technical and vocational education,"TVET, Technical and vocational education and training"
Education,Teaching and training,Demonstrations (educational),
Culture,History,Epigraphy,
Science,Meteorology,Antarctic regions,South Pole
Science,Scientific approach,Evaluation,"Appraisal, Assessment"
Science,Earth sciences,Laterites,
Social and human sciences,Social systems,Youth activities,
Science,Science and research management,Digital divide,Digital gap
Culture,Religion,Religious discrimination,
Education,Educational population,Trainees,
Information and communication,Information technology (hardware),Fax,Facsimile transmitters
Education,Educational policy,School integration,"Educational integration, School desegregation, School segregation"
Science,Meteorology,Arctic regions,"North Pole, Subarctic regions"
Science,Earth sciences,Soil erosion,
Education,Educational institutions,Open plan schools,Open area schools
Education,Educational administration,Teacher status,
Science,"Pollution, disasters and safety",Forest fires,
"Politics, law and economics",Labour,Employment services,"Manpower services, Placement services"
Culture,Cultural policy and planning,Conservation techniques,Preservation techniques
"Politics, law and economics",International relations,Peacekeeping,"Peacekeeping forces, Peacekeeping operations"
Science,Physical sciences,Aerodynamics,Gas dynamics
Science,Geography and oceanography,Aegean Sea,
Science,Natural resources,Energy resources,"Energy, Power resources"
Social and human sciences,Social sciences,Ethnology,"Ethnography, Social anthropology"
Culture,Languages,Lao,
Social and human sciences,Family,Parent child relationship,
Culture,Languages,Vietnamese,
"Politics, law and economics",Finance and trade,Electronic commerce,E-commerce
"Politics, law and economics",Materials and products,Chemicals,Industrial chemicals
Culture,Cultural policy and planning,Cultural management,
Education,Teaching and training,Literacy methods,
Information and communication,Information sources,Audiovisual materials,
Science,Biology,Biochemicals,Biomaterials
"Politics, law and economics",Politics and government,Resistance to oppression,
Culture,Languages,Albanian,
Education,Educational systems and levels,Rural education,
"Politics, law and economics",Legal systems,Natural law,
Science,Natural sciences,Aquatic animals,
Information and communication,Information technology (software),Encoding,"Data capture, Keyboarding"
Science,"Pollution, disasters and safety",Pollution,Environmental pollution
"Politics, law and economics",Materials and products,Fibres,"Natural fibres, Synthetic fibres"
Education,Educational facilities,Classrooms,
"Politics, law and economics",Economic and social development,Human security,
Culture,Linguistics,Spoken language,
Information and communication,Information sources,Guidebooks,Travel guides
Culture,Literature,Literary forms and genres,
Science,Biology,Bioethics,
Information and communication,Communication research and policy,Group communication,
Education,Educational policy,Educational reform,"Educational change, Educational renewal"
Education,Basic and general study subjects,Biology education,
Countries and country groupings,Europe,Turkmen SSR,
Science,Pathology,Occupational diseases,"Industrial diseases, Industrial medicine, Occupational health, Stress related diseases"
Information and communication,Information sources,Recordings,
Science,Meteorology,Bioclimatology,
Countries and country groupings,Europe,Western Europe,
Science,Science and research management,Applied research,
Science,Pathology,Diseases,"Illness, Sickness"
Science,Geography and oceanography,Oceanographic measurement,"Bathythermographs, Salinity measurement, Sea water measurement"
Science,Earth sciences,Glaciers,
"Politics, law and economics",Economic and social development,Development indicators,
Culture,Performing arts,Contemporary theatre,
Social and human sciences,Social systems,Aristocracy,
Science,Earth sciences,Land subsidence,
Information and communication,Communication research and policy,Communication,
Science,Natural resources,Ecological balance,"Biological equilibrium, Ecosystem stability"
"Politics, law and economics",Human rights,Genocide,
Information and communication,Information management,Information/library legislation,"Library law, Library legislation, Library regulations"
Science,Medical sciences,Health policy,"Nutrition policy, Public health"
Science,Chemical sciences,Oxygen,
"Politics, law and economics",Equipment and facilities,Microscopes,"Electron microscopes, Microscopy"
"Politics, law and economics",Personnel management,Mentoring,Mentorship
Information and communication,Documentary information systems,Document delivery,Document supply
Culture,History,Contemporary history,
"Politics, law and economics",International relations,International organizations,
"Politics, law and economics",Industry,Industrial production,
Science,Science and research management,Science policy,"Research policy, Technology policy"
Culture,Cultural policy and planning,Digital heritage,
Culture,Languages,Austronesian and Oceanic languages,
"Politics, law and economics",Legal systems,State liability,
Countries and country groupings,Americas and the Caribbean,Colombia,
Information and communication,Communication research and policy,Press ethics,Newspaper ethics
"Politics, law and economics",Equipment and facilities,Measuring instruments,"Gauges, Precision instruments"
"Politics, law and economics",Finance and trade,Currencies,
"Politics, law and economics",Legal systems,Consensus,
Social and human sciences,Ethnic questions,Roma,Gypsies
Science,Medical sciences,Clinical medicine,
"Politics, law and economics",Human rights,Equal opportunity,"Affirmative action, Equal rights"
"Politics, law and economics",Labour,Full employment,
Education,Basic and general study subjects,Home economics education,Domestic science education
"Politics, law and economics",Materials and products,Crops,
Education,Educational administration,Educational organizations,Educational administrative bodies
Information and communication,Information sources,Directories,
"Politics, law and economics",Materials and products,Composite materials,
Information and communication,Information technology (hardware),Integrated circuits,
Education,Educational management,Student housing,
Culture,Culture,Cultural inequality,
"Politics, law and economics",Equipment and facilities,Seismological observatories,
Social and human sciences,Psychology,Sleep,Dreams
"Politics, law and economics",Economics,Economic structure,
Education,Educational institutions,Journalist schools,
Science,Natural resources,Plant ecology,"Plant adaptation, Plant life"
Education,Educational planning,School age population,
Countries and country groupings,Europe,North Macedonia,"The former Yugoslav Republic of Macedonia, Macedonia"
Culture,Languages,Tigrinya,
Culture,Linguistics,Linguistic research,Linguistic analysis
Science,Chemical sciences,Carbon,
Education,Educational sciences and environment,Comprehension,
"Politics, law and economics",Services,Urban transport,
Culture,Cultural policy and planning,Masks,
"Politics, law and economics",Economics,Economic behaviour,Economic psychology
Science,Physical sciences,Humidity,Moisture
Information and communication,Communication research and policy,Legal deposit,Copyright deposit
Countries and country groupings,Europe,Monaco,
Education,Technical and vocational study subjects,Cultural agents training,
Culture,Literature,Comics,
Science,Medical sciences,Food control,"Food inspection, Food quality control"
Social and human sciences,Social policy and welfare,Legal aid,Legal assistance
Education,Educational policy,Educational experiments,Experimental education
Culture,Museums,Museum cooperation,
Information and communication,Documentary information systems,Government libraries,
Culture,Museums,Art collections,
Social and human sciences,Human settlements and land use,Open spaces,Recreational open spaces
Science,Environmental sciences and engineering,Ecology,Environmental biology
Science,Pathology,Malaria,
Culture,Museums,Science museums,
Science,"Pollution, disasters and safety",Ozone depletion,"CFC, Chlorofluorocarbons"
"Politics, law and economics",Agriculture,Dry farming,Dry land agriculture
"Politics, law and economics",Politics and government,Democracy,
Science,Natural resources,Aquatic ecosystems,
Science,Science and research management,Science finance,"Research financing, Science financing, Technology financing"
Culture,Linguistics,Written language,
Education,Educational systems and levels,Private education,"Fee paying schools, Independent schools, Private schools"
Education,Basic and general study subjects,Speech education,Elocution education
Information and communication,Information technology (software),Robotics,
Education,Educational facilities,Teaching guides,"Teacher books, Teacher guides"
Education,Educational systems and levels,Workers education,
"Politics, law and economics",Manufacturing and transport engineering,Carpentry,
Countries and country groupings,Americas and the Caribbean,Peru,
Social and human sciences,Ethnic questions,Tribes,
Culture,Languages,Greek (modern),
Culture,Languages,Papuan languages,
Culture,Languages,Yiddish,
Science,Earth sciences,Soil conservation,
Culture,Languages,Melanesian,
Education,Educational facilities,Educational equipment,"Academic equipment, School equipment, School supplies, Teaching equipment"
"Politics, law and economics",Agriculture,Winemaking,"Oenology, Vinification, Wine making, Wine production"
Science,Environmental sciences and engineering,Energy supply,
"Politics, law and economics",Equipment and facilities,Ships,Vessels
Culture,Philosophy and ethics,Individualism,
Culture,Religion,Religious sects,
Science,"Pollution, disasters and safety",Agricultural wastes,
Culture,History,Historical sociology,
Culture,Visual arts,Handicrafts,"Arts and crafts, Basketry, Crafts"
Social and human sciences,Human settlements and land use,Rural sociology,"Rural life, Rural society"
"Politics, law and economics",Economic and social development,Civil society,
"Politics, law and economics",Economics,Wealth,
Science,Science and research management,Know-how transfer,
Social and human sciences,Family,Working mothers,
"Politics, law and economics",Politics and government,Oppression,Abuse of power
Science,Earth sciences,Igneous rocks,
"Politics, law and economics",Economics,Economic legislation,
Science,Mathematics and statistics,Regression analysis,
"Politics, law and economics",Manufacturing and transport engineering,Nuclear engineering,Nuclear technology
Education,Educational population,Out of school youth,Out of school children
"Politics, law and economics",Legal systems,Public law,
Education,Educational management,Admission requirements,"Academic admission, Admission criteria, Early admission, Educational admission, School admission, Student admission, Student selection"
Education,Educational evaluation,Oral examinations,
Education,Teaching and training,Study service (higher education),
"Politics, law and economics",Legal systems,International law,"Private international law, Public international law"
Science,Pathology,Infectious diseases,"Bacterial diseases, Communicable diseases, Contagious diseases, Parasitic diseases"
Information and communication,Information sources,Albums,
"Politics, law and economics",Agriculture,Shifting cultivation,
"Politics, law and economics",Legal systems,Prisons,
Information and communication,Information sciences,Bibliographic standards,"Bibliographic record formats, Catalogue formats, CCF, Common Communication Format, MARC, UNIMARC"
Social and human sciences,Ethnic questions,Inuit,Eskimos
Science,Geography and oceanography,Bering Sea,
"Politics, law and economics",Legal systems,Administrative law,
"Politics, law and economics",Economic and social development,Experts,Expert missions
Education,Curriculum,Integrated curriculum,"Integrated education, Interdisciplinary curriculum"
Information and communication,Information technology (hardware),Computer networks,"Computer communications, Data networks, Electronic networking"
Countries and country groupings,Africa,Niger,
Social and human sciences,Human settlements and land use,Regional economy,
Culture,Culture,Cultural revolution,
Science,Hydrology,Runoff,
Education,Technical and vocational study subjects,Book production training,
Culture,Philosophy and ethics,Sociology of knowledge,
Science,Natural sciences,Zoology,Animal biology
Culture,Linguistics,Linguistics,"Descriptive linguistics, Linguistic theory"
Culture,Culture,Culture,
Culture,History,History,
Culture,Leisure,Leisure,"Leisure time, Recreation"
Culture,Literature,Literature,
Culture,Museums,Museums,
Culture,Performing arts,Performing arts,"Acrobatics, Circuses"
Culture,Religion,Religion,
Culture,Visual arts,Visual arts,
"Politics, law and economics",Industry,Food industry,
"Politics, law and economics",Labour,Underemployment,Labour underutilization
Culture,Languages,Tamil,
Culture,Culture,Cultural isolation,
Education,Educational planning,Enrolment,Educational registration
Science,Geography and oceanography,Geography,
Countries and country groupings,Asia and the Pacific,United Arab Emirates,UAE
"Politics, law and economics",Politics and government,Nazism,
"Politics, law and economics",Finance and trade,Liquidity,
Information and communication,Information sciences,Subject headings,
Education,Curriculum,Elective courses,Optional courses
Science,Physical sciences,Energy conversion,
Science,Earth sciences,Sands,
Information and communication,Information industry,Television,
Science,Chemical sciences,Chemical analysis,
"Politics, law and economics",Finance and trade,Costs,
Culture,Languages,Byelorussian,
Information and communication,Information industry,Newspaper press,
Science,Geography and oceanography,Political geography,
"Politics, law and economics",Agriculture,Land reform,Agrarian reform
Education,Educational systems and levels,Part time education,Part time courses
Information and communication,Information sciences,Classification systems,"BLISS classification, BSO classification, Classification research, Classification schemes, Colon classification, Dewey, LCC, UDC"
Culture,Linguistics,Modern languages,
Social and human sciences,Social systems,Nation building,
Social and human sciences,Population,Illegal immigration,
Social and human sciences,Psychology,Individual differences,Individuality
Science,Science and research management,Technology assessment,Technology evaluation
"Politics, law and economics",Economic and social development,Food aid,
Information and communication,Information sources,Books,
Education,Educational planning,Literacy programmes,Literacy campaigns
Education,Educational administration,Local educational bodies,
"Politics, law and economics",Economics,Poverty alleviation,"Poverty eradication, Poverty reduction"
Culture,Performing arts,Classical music,
Countries and country groupings,Asia and the Pacific,Jordan,
Information and communication,Information sources,Guides,"Handbooks, Manuals"
"Politics, law and economics",Legal systems,Public domain,
"Politics, law and economics",Legal systems,Piracy,"Broadcasting piracy, Computer piracy"
Culture,Religion,Shamanism,
"Politics, law and economics",Services,Travel abroad,International travel
Science,Physical sciences,Rheology,"Hydromechanics, Physics of liquids"
Social and human sciences,Population,Population problems,
Information and communication,Information industry,Television stations,Television studios
"Politics, law and economics",Human rights,Linguistic rights,Language rights
Science,Medical sciences,Therapy,Therapeutics
Culture,Museums,National museums,
"Politics, law and economics",Economics,Cost of living,
Culture,Cultural policy and planning,Documentary heritage,
"Politics, law and economics",Services,Hotel industry,
"Politics, law and economics",Finance and trade,Trade,
Social and human sciences,Social problems,Homeless,
"Politics, law and economics",Equipment and facilities,Meteorological satellites,
Culture,Religion,Christianity,
"Politics, law and economics",Materials and products,Plant products,Spices
Social and human sciences,Social sciences,Social science organizations,
Science,Science and research management,Interdisciplinary research,Multidisciplinary research
Education,Educational management,Educational leave,
Culture,Languages,Asian languages,Oriental languages
"Politics, law and economics",Human rights,Collective human rights,"Peoples rights, Rights of peoples"
Culture,Performing arts,Films,"Art films, Motion pictures, Movies"
Social and human sciences,Social problems,Addiction,
Culture,Culture,Cultural differentiation,
Countries and country groupings,Africa,Eritrea,
Education,Educational population,Educational administrators,"Deans, Head teachers, Headmasters, Inspectors of education, Principals, Rectors"
Education,Teaching and training,Role playing,
"Politics, law and economics","Civil, military and mining engineering",Civil engineering,
Information and communication,Information technology (software),Open source software,"FOSS, Free and open source software"
Education,Educational management,Secondary school leaving,
Countries and country groupings,Europe,Sweden,
Social and human sciences,Family,Family,Family life
Social and human sciences,Population,Population,
Social and human sciences,Psychology,Psychology,Individual psychology
Social and human sciences,Social problems,Social problems,
Social and human sciences,Social sciences,Social sciences,Social and human sciences
Social and human sciences,Social systems,Social systems,Society
Information and communication,Information technology (hardware),Computer output microforms,COM
Culture,Philosophy and ethics,Value judgment,
Social and human sciences,Social systems,Nations,
Information and communication,Communication research and policy,Correspondence,Letters
Social and human sciences,Social policy and welfare,Social justice,
Culture,Cultural policy and planning,Movable cultural property,
"Politics, law and economics",Politics and government,Ombudsman,
"Politics, law and economics",Agriculture,Food production,
Social and human sciences,Social systems,Nonindustrialized societies,
Countries and country groupings,Africa,Sahara,
Social and human sciences,Human settlements and land use,Rural extension,Agricultural extension
Education,Educational sciences and environment,Educational sociology,Society and education
Education,Educational sciences and environment,Parent school relationship,
Science,Geography and oceanography,Baltic Sea,
"Politics, law and economics",Finance and trade,Protectionism,Protectionist measures
Information and communication,Documentary information systems,Sound libraries,"Phonorecord libraries, Record libraries"
Culture,History,Arab history,
"Politics, law and economics",International relations,International politics,"Geopolitics, International affairs, World politics"
Science,Natural sciences,Aquatic plants,Algae
Science,Environmental sciences and engineering,Environmental ethics,"Ecological ethics, Environmental philosophy, Ethics of nature"
Culture,Linguistics,Translation services,
Social and human sciences,Population,Population decrease,Population decline
Information and communication,Information technology (software),Closed circuit television,
"Politics, law and economics",Agriculture,Aquaculture,"Fish farming, Freshwater fish culture"
Education,Educational planning,Student mobility,
"Politics, law and economics",Materials and products,Textiles,Textile products
Education,Basic and general study subjects,Handwriting instruction,
Culture,Visual arts,Illustration,
Information and communication,Communication research and policy,Economics of communication,
Culture,Linguistics,Comparative linguistics,Synchronic linguistics
Science,Scientific approach,Science and society,"Sociology of research, Sociology of science, Sociology of technology"
Culture,History,Archaeological sites,
"Politics, law and economics",Manufacturing and transport engineering,Shipbuilding,
"Politics, law and economics",Organization and management,Nonprofit organizations,"Foundations, Trusts"
"Politics, law and economics",Politics and government,Liberation movements,
Science,Scientific approach,Experimental methods,Experimentation
Countries and country groupings,Americas and the Caribbean,Bahamas,Commonwealth of the Bahamas
Social and human sciences,Psychology,Attitudes,
Culture,History,African history,
"Politics, law and economics",International relations,Peace research,
Social and human sciences,Social systems,Target groups,
"Politics, law and economics",Materials and products,Petroleum products,"Bitumens, Petrochemicals"
Education,Educational population,Primary school teachers,
Culture,Languages,Bantu languages,
Information and communication,Information industry,Illustration printing,
Science,Biology,Breast feeding,
Science,Medical sciences,Occupational medicine,Occupational therapy
Culture,Cultural policy and planning,Cultural property preservation,"Conservation of cultural property, Cultural heritage preservation, Protection of cultural property"
Information and communication,Documentary information processing,Dissemination of knowledge,
Science,Natural sciences,Species,
Countries and country groupings,Europe,Estonian SSR,
Science,Mathematics and statistics,Topology,Homology
Information and communication,Information technology (software),Teleconferencing,"Computer conferencing, Videoconferencing, Virtual conferencing"
Education,Educational population,Teacher aides,
Science,Hydrology,Water consumption,"Water use, Water utilization"
Culture,Culture,Cultural diversity,Cultural pluralism
Countries and country groupings,Europe,Romania,
Culture,Performing arts,History of cinema,
"Politics, law and economics",Manufacturing and transport engineering,Cloning,
Countries and country groupings,Asia and the Pacific,Micronesia,Federated states of Micronesia
Countries and country groupings,Africa,North Africa,
"Politics, law and economics",Organization and management,Associations,
Science,Chemical sciences,Electrons,
Education,Teaching and training,Audiovisual instruction,
Science,Biology,Embryos,
Culture,Linguistics,Symbolic languages,
Social and human sciences,Human settlements and land use,Regional disparities,"Developing areas, Regional imbalances"
"Politics, law and economics",Economic and social development,Country programming,
"Politics, law and economics",Materials and products,Bricks,
Countries and country groupings,Europe,Andorra,
Education,Technical and vocational study subjects,Engineering education,Higher technical education
Culture,Performing arts,Film festivals,
Science,"Pollution, disasters and safety",Tsunami,"Seismic sea waves, Tidal waves"
Culture,Linguistics,Vocabularies,
"Politics, law and economics",Personnel management,Occupational safety,Industrial safety
Education,Educational population,Secondary school teachers,
Information and communication,Documentary information processing,Information processing,"Information management, Documentary information processing, Information handling, Information storage and retrieval"
Countries and country groupings,Europe,San Marino,
Information and communication,Information sources,Periodicals,"Bulletins, Journals, Magazines"
Countries and country groupings,Europe,Serbia,
"Politics, law and economics",Politics and government,Political conflicts,
Education,Educational policy,Church and education,
"Politics, law and economics",Economics,Economic concentration,
"Politics, law and economics",Finance and trade,Public finance,Government finance
Social and human sciences,Population,Commuting,Journey to work
"Politics, law and economics",Legal systems,Labour law,"Industrial law, Labour legislation"
Social and human sciences,Psychology,Memorization,Memory
"Politics, law and economics",Legal systems,Copyright transfer,
Culture,Culture,Incas,
Countries and country groupings,Americas and the Caribbean,French Guiana,
Education,Educational population,Secondary school students,Secondary school pupils
Education,Technical and vocational study subjects,Film making training,
"Politics, law and economics",Agriculture,Agricultural prices,
Science,Hydrology,Water storage,
Education,Technical and vocational study subjects,Journalist education,Journalist training
Information and communication,Information sources,Mission reports,Expert reports
Education,Educational systems and levels,Consumer education,
Science,Hydrology,Aquifers,
Education,Educational planning,Educational needs,
Countries and country groupings,Political groupings,ASEAN countries,
Countries and country groupings,Economic groupings,Small states,"Microstates, Small countries"
Education,Educational systems and levels,Migrant education,"Migrant child education, Nomad education"
Science,Mathematics and statistics,Arithmetic,
Education,Educational policy,Universal education,"Education for all, Equal education, Equal opportunity in education"
Countries and country groupings,Africa,Mauritania,
"Politics, law and economics",Manufacturing and transport engineering,Packaging,
Social and human sciences,Population,Homemakers,Housewives
Science,Scientific approach,Scientific methods,"Research methods, Research techniques"
Education,Educational systems and levels,Compensatory education,
Education,Educational facilities,School buildings,
"Politics, law and economics",Politics and government,Political power,"Executive power, Judicial power, Legislative power"
"Politics, law and economics",Legal systems,Legal procedure,"Judicial procedure, Litigation, Trials"
Information and communication,Information sciences,Microfiches,
Culture,Museums,Museum economics,Museum finance
"Politics, law and economics",Equipment and facilities,Astronomical observatories,
Science,Biology,Human biology,
Culture,Languages,Lingala,
Culture,Art,Theatre directors,
"Politics, law and economics",Organization and management,Public utilities,Public services
Education,Teaching and training,Tutoring,Coaching
Science,Natural resources,Solar energy,
Science,Biology,Evolution,Biological evolution
Culture,Languages,Galician,
Countries and country groupings,Europe,Moldavian SSR,
Science,Science and research management,Engineers,
"Politics, law and economics",Manufacturing and transport engineering,Space technology,
Science,Medical sciences,Dentistry,
Culture,Languages,Eurasian and North Asian languages,
Culture,Museums,Museum laboratories,"Conservation laboratories, Museum repair workshops"
"Politics, law and economics",Economic and social development,Consultants,
Education,Educational institutions,Teacher education schools,"Colleges of education, Teacher colleges, Teacher training institutions, Teacher training schools"
Culture,Literature,European literature,Western literature
Science,Hydrology,Water sampling,
"Politics, law and economics",Politics and government,Self government,Autonomous states
Culture,Literature,Prose,
Science,Physical sciences,X-rays,
"Politics, law and economics",Industry,Industry,Industrial sector
"Politics, law and economics",Economic and social development,Economic and social development,"Development, Economic development, Social development"
"Politics, law and economics",Agriculture,Agriculture,Farming
"Politics, law and economics",Legal systems,Legal systems,"Case law, Code Napoleon, Modern law, Primitive law, Roman law"
Culture,Culture,Cultural creation,
"Politics, law and economics",Economics,Economics,Political economy
"Politics, law and economics",Human rights,Human rights,Individual human rights
"Politics, law and economics",International relations,International relations,
"Politics, law and economics",Personnel management,Personnel management,"Human resources management, Personnel administration, Staff management"
"Politics, law and economics",Labour,Labour,
Science,Geography and oceanography,Topography,
Science,Pathology,Psychoses,"Paranoia, Schizofrenia"
Education,Educational planning,Repetition rate,
Culture,Languages,Ewe,
Science,Science and research management,Diffusion of technology,Diffusion of innovations
Information and communication,Documentary information systems,Information/library networks,Library networks
Science,Biology,Anatomy,
Science,Meteorology,Polar regions,Cold zones
Culture,History,Dating,
Education,Educational planning,Enrolment ratio,
Culture,Art,Folk art,
Education,Educational administration,Educational autonomy,"Educational self management, School based management"
Science,Earth sciences,Soils,"Soil classification, Soil types"
Science,Natural resources,Endangered species,
Social and human sciences,Social policy and welfare,Social needs,
"Politics, law and economics",Materials and products,Coffee,
Education,Basic and general study subjects,Physics education,
"Politics, law and economics",Labour,Labour market,
Science,Geography and oceanography,Arctic Ocean,
Science,Science and research management,Scientific researchers,"Research workers, Researchers"
"Politics, law and economics",Politics and government,Local government,Regional government
Information and communication,Information industry,Local press,Community press
Culture,Religion,Clergy,"Ministers of religion, Missionaries, Priests"
Culture,Cultural policy and planning,Dissemination of culture,"Cultural communication, Cultural diffusion"
Culture,Leisure,Cultural tourism,
Information and communication,Information technology (software),Communication technology,"Communication engineering, Telecommunications engineering, Telecommunications technology"
Social and human sciences,Social systems,Interpersonal relations,Human relations
"Politics, law and economics",Economics,Globalization,
Social and human sciences,Population,Migration policy,
Social and human sciences,Social problems,Mentally disabled,Mentally handicapped
Countries and country groupings,Americas and the Caribbean,Nicaragua,
"Politics, law and economics",Politics and government,Governance,
Countries and country groupings,Americas and the Caribbean,Panama,
"Politics, law and economics","Civil, military and mining engineering",Construction engineering,Structural engineering
Culture,Philosophy and ethics,Empiricism,
Culture,Languages,Tswana,Setswana
Countries and country groupings,Europe,Faroes,"Faeroe Islands, Faroe Islands"
Science,Natural resources,Biosphere reserves,
Social and human sciences,Social problems,Pornography,
Culture,Culture,Dominant cultures,"Cultural dominance, Cultural hegemony, Cultural imperialism"
Science,Biology,Artificial procreation,Artificial insemination
Science,Medical sciences,Dietetics,Diet therapy
"Politics, law and economics",Equipment and facilities,Aircraft,
Information and communication,Communication research and policy,Communication programmes,Communication projects
Countries and country groupings,Europe,Holy See,Vatican
Culture,Art,Works of art,"Art objects, Art works, Artifacts"
Information and communication,Documentary information systems,Audiovisual archives,
Education,Educational policy,Intercultural education,"Bicultural education, Crosscultural education, Multicultural education"
"Politics, law and economics",Organization and management,Project selection,Project identification
Culture,Cultural policy and planning,Culture and development,
Education,Educational management,Inclusive education,"Mainstreaming, Regular class placement"
Culture,History,Modern history,
Science,Mathematics and statistics,Algebra,
Culture,Literature,Asian literature,
Countries and country groupings,Asia and the Pacific,Myanmar,Burma
"Politics, law and economics",Organization and management,Bureaucracy,
"Politics, law and economics",Economics,Cost benefit analysis,
Social and human sciences,Psychology,Intolerance,
Social and human sciences,Human settlements and land use,Regional planning,
"Politics, law and economics",Industry,Industrial location,
Culture,Religion,Theology,Religious research
Education,Educational planning,Educational financial resources,
Education,Teaching and training,Home study,
"Politics, law and economics",Legal systems,Customary law,Common law
"Politics, law and economics",Equipment and facilities,Transport infrastructure,
Information and communication,Communication research and policy,Audience rating,
Social and human sciences,Psychology,Critical thinking,Critical mind
"Politics, law and economics",Organization and management,Organization and methods,Method study
"Politics, law and economics",Politics and government,Colonial countries,Colonies
Science,Earth sciences,Saline soils,
Information and communication,Documentary information systems,Legal information systems,
Science,Meteorology,Climate,
Culture,Art,Islamic art,
"Politics, law and economics",Politics and government,Totalitarianism,Authoritarianism
Information and communication,Information technology (software),Computer graphics,
"Politics, law and economics",Legal systems,Computer law,
Science,Chemical sciences,Trace analysis,
Culture,Languages,Tahitian,
Culture,Art,Art imitations,
"Politics, law and economics",Materials and products,Glass,
"Politics, law and economics",Equipment and facilities,Weapons,Armaments
Education,Educational facilities,Educational publications,"College publications, School publications"
"Politics, law and economics",Services,Rural transport,
Education,Educational policy,Alternative education,"Anticurriculum movement, Deschooling, Educational alternatives"
Science,Environmental sciences and engineering,Aquatic environment,
Culture,Cultural policy and planning,Cultural cooperation,
Culture,Literature,Literary prizes,
Education,Teaching and training,Peer teaching,Peer tutoring
Science,Natural resources,Food consumption,
"Politics, law and economics",Legal systems,Constitutional law,
Culture,Philosophy and ethics,Epistemology,
Education,Educational population,Exceptional students,
Information and communication,Information management,Archive legislation,
"Politics, law and economics",Personnel management,Agricultural workers,Rural workers
Science,Medical sciences,Aerospace medicine,Space medicine
Education,Technical and vocational study subjects,TV/radio personnel training,Radio personnel training
Education,Basic and general study subjects,Development education,
Social and human sciences,Human settlements and land use,Urban spaces,
"Politics, law and economics",Politics and government,Political participation,
Countries and country groupings,Africa,Libya,Libyan Arab Jamahiriya
"Politics, law and economics",Materials and products,Food,Food products
Science,Science and research management,Technology transfer,"Horizontal technology transfer, Transfer of techniques, Vertical technology transfer"
Social and human sciences,Psychology,Self discipline,Self control
Culture,Languages,Maltese,Malti
"Politics, law and economics",Materials and products,Milk,
Information and communication,Information management,Information user instruction,"Bibliographic instruction, Library instruction"
Information and communication,Information technology (software),High definition TV,
Social and human sciences,Population,Nomadism,
Education,Technical and vocational study subjects,Agricultural education,
Social and human sciences,Ethnic questions,Racial segregation,Ghettos
Social and human sciences,Social sciences,Social research,Social science research
Science,Biology,Mutation,"Biological change, Genetic variation"
Culture,Linguistics,Language preservation,"Language maintenance, Language protection, Language revitalisation, Language revival, Language safeguarding"
"Politics, law and economics",Politics and government,Militarism,
Culture,Leisure,Play,
Education,Teaching and training,Lectures (teaching method),
Information and communication,Information industry,Programme exchange,
Social and human sciences,Human settlements and land use,Community leaders,
Social and human sciences,Human settlements and land use,Rural women,
"Politics, law and economics",Labour,Human resources,Human capital
Science,Chemical sciences,Biochemical analysis,
Science,Meteorology,Tropical zones,Equatorial zones
Science,Earth sciences,Salt deposits,
"Politics, law and economics",Finance and trade,Trade policy,Commercial policy
Education,Educational sciences and environment,Educational interaction process,Interaction process analysis
Culture,Cultural policy and planning,Cultural heritage,World heritage (cultural)
Culture,Languages,Armenian,
Information and communication,Communication research and policy,Intercultural communication,"Dialogue among civilizations, Intercultural dialogue"
Education,Technical and vocational study subjects,Library education,"Documentation training, Library training"
Education,Curriculum,University courses,
Science,Natural sciences,Flora,
Countries and country groupings,Americas and the Caribbean,Caribbean,West Indies
Social and human sciences,Social problems,Suicide,
Culture,Cultural policy and planning,Cultural indicators,
Science,Scientific approach,Measuring methods,
Education,Technical and vocational study subjects,Inservice teacher education,Inservice teacher training
Education,Educational systems and levels,Correctional education,Prison education
Education,Educational systems and levels,Womens education,
Social and human sciences,Social policy and welfare,Social work,
Science,Meteorology,Hydrological cycle,Water cycle
Science,Space sciences,Astronomy,
Information and communication,Documentary information systems,Information/library facilities,Library facilities
Countries and country groupings,Political groupings,European Union,
Science,Geography and oceanography,Caribbean Sea,
Science,Meteorology,Snow,Sleet
Culture,Languages,Germanic languages,
Science,Geography and oceanography,Steppe,
"Politics, law and economics",Manufacturing and transport engineering,Mechanical engineering,
Science,Physical sciences,Fluid mechanics,
Culture,Performing arts,Musical instruments,
Education,Educational institutions,Higher education institutions,
"Politics, law and economics",Human rights,Right to natural resources control,
Education,Basic and general study subjects,Womens studies,
Culture,Culture,Disappearing cultures,
Culture,Philosophy and ethics,Ontology,
Science,Space sciences,Gravitation,
"Politics, law and economics",Labour,Employment,
Social and human sciences,Social systems,Social structure,
Education,Curriculum,Extracurricular activities,After school activities
Education,Basic and general study subjects,Computer literacy,"Digital skills, Digital literacy"
Culture,Culture,Iberian cultures,
Information and communication,Information industry,National broadcasting,
"Politics, law and economics",Organization and management,Programme planning,
Education,Educational institutions,One teacher schools,"Multigrade teaching, Multiple class teaching"
"Politics, law and economics",Human rights,Right to life,
Education,Educational policy,Right to education,
